Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,304.29998779296875,313.489990234375,302.2200012207031,308.6600036621094,307.097900390625,43496400
2020-02-04,315.30999755859375,319.6400146484375,313.6300048828125,318.8500061035156,317.2362976074219,34154100
2020-02-05,323.5199890136719,324.760009765625,318.95001220703125,321.45001220703125,319.82318115234375,29706700
2020-02-06,322.57000732421875,325.2200012207031,320.260009765625,325.2099914550781,323.5641174316406,26356400
2020-02-07,322.3699951171875,323.3999938964844,318.0,320.0299987792969,319.166015625,29421000
2020-02-10,314.17999267578125,321.54998779296875,313.8500061035156,321.54998779296875,320.6819152832031,27337200
2020-02-11,323.6000061035156,323.8999938964844,318.7099914550781,319.6099853515625,318.74713134765625,23580800
2020-02-12,321.4700012207031,327.2200012207031,321.4700012207031,327.20001220703125,326.3166809082031,28432600
2020-02-13,324.19000244140625,326.2200012207031,323.3500061035156,324.8699951171875,323.9929504394531,23686900
2020-02-14,324.739990234375,325.9800109863281,322.8500061035156,324.95001220703125,324.07275390625,20028400
2020-02-18,315.3599853515625,319.75,314.6099853515625,319.0,318.1387939453125,38132800
2020-02-19,320.0,324.57000732421875,320.0,323.6199951171875,322.746337890625,23496000
2020-02-20,322.6300048828125,324.6499938964844,318.2099914550781,320.29998779296875,319.4352722167969,25141500
2020-02-21,318.6199951171875,320.45001220703125,310.5,313.04998779296875,312.2048645019531,32388500
2020-02-24,297.260009765625,304.17999267578125,289.2300109863281,298.17999267578125,297.375,55548800
2020-02-25,300.95001220703125,302.5299987792969,286.1300048828125,288.0799865722656,287.3022766113281,57668400
2020-02-26,286.5299987792969,297.8800048828125,286.5,292.6499938964844,291.85992431640625,49513700
2020-02-27,281.1000061035156,286.0,272.9599914550781,273.5199890136719,272.7815856933594,79834500
2020-02-28,257.260009765625,278.4100036621094,256.3699951171875,273.3599853515625,272.62200927734375,106721200
2020-03-02,282.2799987792969,301.44000244140625,277.7200012207031,298.80999755859375,298.0032958984375,85349300
2020-03-03,303.6700134277344,304.0,285.79998779296875,289.32000732421875,288.5389404296875,79868900
2020-03-04,296.44000244140625,303.3999938964844,293.1300048828125,302.739990234375,301.9226989746094,54794600
2020-03-05,295.5199890136719,299.54998779296875,291.4100036621094,292.9200134277344,292.12921142578125,46893200
2020-03-06,282.0,290.82000732421875,281.2300109863281,289.0299987792969,288.2497253417969,56544200
2020-03-09,263.75,278.0899963378906,263.0,266.1700134277344,265.4514465332031,71686200
2020-03-10,277.1400146484375,286.44000244140625,269.3699951171875,285.3399963378906,284.5696716308594,71322500
2020-03-11,277.3900146484375,281.2200012207031,271.8599853515625,275.42999267578125,274.6864318847656,63899700
2020-03-12,255.94000244140625,270.0,248.0,248.22999572753906,247.5598602294922,104618500
2020-03-13,264.8900146484375,279.9200134277344,252.9499969482422,277.9700012207031,277.2195739746094,92683000
2020-03-16,241.9499969482422,259.0799865722656,240.0,242.2100067138672,241.55612182617188,80605900
2020-03-17,247.50999450683594,257.6099853515625,238.39999389648438,252.86000061035156,252.1773681640625,81014000
2020-03-18,239.77000427246094,250.0,237.1199951171875,246.6699981689453,246.0040740966797,75058400
2020-03-19,247.38999938964844,252.83999633789062,242.61000061035156,244.77999877929688,244.11917114257812,67964300
